,model,run,lin_grad,r,p,mean_omm,resid_grad,ks_stat,ks_pval
31,CanESM5,r10i1p1f1_gn,0.900327926283484,0.9738877094347587,1.7811133726254542e-23,5.4798001664025415,-0.21906666502222286,0.3888888888888889,0.008095782390485192
32,CanESM5,r10i1p2f1_gn,0.9001822742418969,0.9704780964582616,1.3978201636767845e-22,5.455907646406971,-0.21892101298063574,0.4166666666666667,0.0034922983087209143
33,CanESM5,r11i1p1f1_gn,0.8760214653177765,0.9748048973916398,9.766659572859224e-24,4.437999639293501,-0.1947602040565152,0.3611111111111111,0.01759952462994868
34,CanESM5,r12i1p1f1_gn,0.9377953687843362,0.9702841493765607,1.560095079573717e-22,5.71992852791907,-0.25653410752307493,0.3888888888888889,0.008095782390485192
35,CanESM5,r13i1p1f1_gn,1.004242160866466,0.9757510154000377,5.132178383939087e-24,6.481473470774905,-0.3229808996052048,0.4166666666666667,0.0034922983087209143
36,CanESM5,r14i1p1f1_gn,0.9159084924821536,0.9739537886643153,1.7068839779309904e-23,6.271322191636711,-0.23464723122089226,0.4722222222222222,0.0005322080152247216
37,CanESM5,r15i1p1f1_gn,0.9189625641132105,0.9684343581973188,4.293843821081066e-22,4.7810320647699465,-0.23770130285194946,0.3611111111111111,0.01759952462994868
38,CanESM5,r16i1p1f1_gn,0.9402299594503267,0.9764098217408048,3.229440793325833e-24,5.791308519788202,-0.25896869818906526,0.4166666666666667,0.0034922983087209143
39,CanESM5,r17i1p1f1_gn,0.8786915616485912,0.9723015849902175,4.795040944297341e-23,5.020169607514424,-0.19743030038732973,0.3888888888888889,0.008095782390485192
40,CanESM5,r18i1p1f1_gn,0.9603513483528618,0.9719695773300714,5.856787237116965e-23,6.242203753902796,-0.2790900870916006,0.4166666666666667,0.0034922983087209143
41,CanESM5,r19i1p1f1_gn,0.8496662444589682,0.9792968863352631,3.5881586980568705e-25,4.433512556931326,-0.1684049831977069,0.3611111111111111,0.01759952462994868
42,CanESM5,r1i1p1f1_gn,0.8963936462864145,0.9776233615742294,1.32810536627358e-24,5.264515809762097,-0.21513238502515333,0.3888888888888889,0.008095782390485192
43,CanESM5,r1i1p2f1_gn,0.9888078827195186,0.9663245424103454,1.269115503366508e-21,6.16892619766886,-0.3075466214582573,0.3888888888888889,0.008095782390485192
44,CanESM5,r20i1p1f1_gn,0.8855888271375896,0.9757885793326241,5.000121188049586e-24,4.913565315146529,-0.20432756587632842,0.3611111111111111,0.01759952462994868
45,CanESM5,r21i1p1f1_gn,0.9232458517588243,0.9749957799191786,8.59471810045881e-24,5.601291520775308,-0.2419845904975631,0.3888888888888889,0.008095782390485192
46,CanESM5,r22i1p1f1_gn,0.9271169998777726,0.9774214456876638,1.5448456025641783e-24,5.807400566055659,-0.24585573861651136,0.4166666666666667,0.0034922983087209143
47,CanESM5,r23i1p1f1_gn,0.9534466033449045,0.969949382474834,1.8825503674954901e-22,5.555528076619853,-0.27218534208364314,0.3888888888888889,0.008095782390485192
48,CanESM5,r24i1p1f1_gn,0.9611071738497171,0.9759474672943792,4.476069309910705e-24,5.837178914130678,-0.2798459125884558,0.4166666666666667,0.0034922983087209143
49,CanESM5,r25i1p1f1_gn,0.9144656773316201,0.9751650886866863,7.667108429084654e-24,5.96821388606987,-0.2332044160703588,0.4444444444444444,0.0014103512403408932
50,CanESM5,r2i1p1f1_gn,0.8254539002361139,0.968329127297697,4.540125722965222e-22,4.24644275593852,-0.14419263897485257,0.3611111111111111,0.01759952462994868
51,CanESM5,r2i1p2f1_gn,0.8960801421982287,0.9681976340488333,4.866536208990335e-22,4.925770445049753,-0.21481888093696752,0.3888888888888889,0.008095782390485192
52,CanESM5,r3i1p1f1_gn,0.8514308500905526,0.9743824487034439,1.2915435109294457e-23,4.059942425379439,-0.1701695888292912,0.3611111111111111,0.01759952462994868
53,CanESM5,r3i1p2f1_gn,0.930741320127571,0.971393508969129,8.240220043243039e-23,5.513167602574775,-0.2494800588663097,0.3888888888888889,0.008095782390485192
54,CanESM5,r4i1p1f1_gn,0.8011054608122262,0.9529094881525562,3.421418417822214e-19,5.10085298953548,-0.11984419955096497,0.4722222222222222,0.0005322080152247216
