,model_key,startyr,endyr,Tmin,Tmax,Npts,TSLS,sigmaTSLS,BalanceT,Intercept
20,CanESM5:p1f1:historical,1850,2014,-1.3712314064556494,-0.06611296649532505,100,0.001360914378926777,2.4058034808872052e-05,-1.2754061661495881,0.0017357185904848485
21,CanESM5:p2:2016:2050,2016,2050,1.0343160301186458,1.5125005310008532,30,0.0019701298735252575,0.00013742707003292466,-0.07046194290924021,0.00013881917867212534
22,CanESM5:p2:2051:2100,2051,2100,1.5308746851717956,4.646439284812856,30,0.0015328448682716458,3.4640477125448194e-05,0.5898535018814453,-0.0009041539133910329
23,CanESM5:p2f1:historical,1850,2014,-1.3638139169528358,-0.06813137878623365,40,0.0013226149933682405,4.2053049436700344e-05,-1.2718026642734939,0.0016821052723737977
24,E3SM-1-1-ECA:p1f1:historical,1850,2014,-0.6494602519229602,-0.07436249954537287,4,0.0019053952900681102,0.0004639054266613847,-0.7780451490660238,0.0014824835624907425
25,E3SM-1-1:p1f1:historical,1850,2014,-0.5469366942774627,-0.06214463298482543,4,0.002335815071009768,0.00011324837454410736,-0.5275482911364565,0.001232255249121984
26,EC-Earth3-CC:p1f1:historical,1850,2014,-1.4027734797650169,-0.08047753976194373,4,0.0008693013169029751,0.0002812950199183929,-1.7314962967290906,0.001505192010959223
28,EC-Earth3-Veg-LR:p1:2051:2100,2051,2100,1.0054592534640392,3.1353950393153696,3,0.0015607739280596841,0.0010598497355679094,0.7931036754493588,-0.0012378555388896685
29,EC-Earth3-Veg:p1:2016:2050,2016,2050,0.6677028643705967,0.921360538505894,3,0.0016265894062405491,0.0004154631325586184,-0.4927931555142696,0.0008015721262273624
30,EC-Earth3-Veg:p1:2051:2100,2051,2100,1.110083051131312,3.284938654739108,3,0.0014705913959852039,2.2234472825032725e-05,0.17501032356190238,-0.00025736867603872024
31,EC-Earth3-Veg:p1f1:historical,1850,2014,-1.3220684628331585,-0.07167544548985916,4,0.0009632412631392343,0.0001144044692225915,-1.4334195915015029,0.001380728897926433
32,EC-Earth3:p1:2016:2050,2016,2050,0.8926231121729984,1.0615696464947175,3,0.0010184175815881654,0.0017635660122132107,-1.0386906109372855,0.0010578207800090843
33,EC-Earth3:p1:2051:2100,2051,2100,1.2101065687577943,3.3593148941688464,3,0.0014165053319741996,2.5389667431956624e-06,0.13227491437113859,-0.0001873681214931485
34,FGOALS-f3-L:p1f1:historical,1850,2014,-1.0877670296077897,-0.04601555278094338,4,0.0014651119925840168,0.00014775673059644296,0.09355433322727981,-0.000137067575569489
36,FGOALS-g3:p1:2051:2100,2051,2100,0.4670283030804399,2.192942474264328,5,0.0029896329275933085,0.0006694801060702309,0.5182941711571407,-0.0015495093202710698
37,FIO-ESM-2-0:p1:2016:2050,2016,2050,0.707958598817072,0.9214371822984616,5,0.004171917885264867,0.0013256404086937265,0.30311390848685854,-0.0012645663360888635
38,FIO-ESM-2-0:p1:2051:2100,2051,2100,1.0023881597630862,3.2625392996266096,5,0.0014744223023072484,6.446055286921936e-05,0.10765494023125345,-0.00015872884483051394
39,FIO-ESM-2-0:p1f1:historical,1850,2014,-1.1764135636752826,-0.05728763274333915,4,0.0010675514661796204,0.0003412946873872305,-1.4801686473582187,0.001580156209680372
40,GFDL-CM4:p1f1:historical,1850,2014,-0.7184561893076875,-0.07555497005012057,4,0.0016489077301468354,0.0001207214762574646,-0.8381517108718499,0.0013820348350923888
41,GFDL-ESM4:p1:2016:2050,2016,2050,0.6077209889131154,0.7156126918208656,3,0.004498086487618032,0.002252511290119717,0.06665247010801319,-0.0002998085751592189
42,GFDL-ESM4:p1:2051:2100,2051,2100,0.8079829447541442,2.4029243347146116,3,0.002204491223856847,0.00012348627234450078,-0.08392040765570134,0.00018500180217948255
43,GFDL-ESM4:p1f1:historical,1850,2014,-0.6213635437302969,-0.0732670057714131,4,0.0023684397117812906,0.00029613328485491604,-0.5707071439373683,0.001351685463498544
44,GISS-E2-1-G-CC:p1f1:historical,1850,2014,-0.8235448586343068,-0.06223181922655385,4,0.0019894494308528815,0.00035613429551366614,-0.8449538400907295,0.0016809929362654585
45,GISS-E2-1-G:p1f1:historical,1850,2014,-0.7769761483846196,-0.037665549007328984,40,0.001847600001499445,5.7165951222217813e-05,-0.720735452793763,0.0013316308236624597
46,HadGEM3-GC31-LL:p1:2016:2050,2016,2050,0.5246588644299663,1.4562769166540193,6,0.002885286971140875,0.0002916398355821618,0.33468848758510605,-0.000965672332620151
47,HadGEM3-GC31-LL:p1:2051:2100,2051,2100,1.8685475872828192,4.341288336655282,5,0.0013198179310625563,7.597268906948306e-05,-0.029111258161881794,3.842156051784278e-05
48,HadGEM3-GC31-LL:p1f3:historical,1850,2014,-0.8924040299204421,-0.07319929793243317,20,0.0019515610079388135,0.00023528664603316823,-0.7914735826708374,0.0015446089827540433
50,HadGEM3-GC31-MM:p1:2051:2100,2051,2100,1.9696734328119303,4.238548525731403,5,0.0024145248542884494,0.0010447183500240848,2.168305364698832,-0.005235427194752311
51,HadGEM3-GC31-MM:p1f3:historical,1850,2014,-0.7047352228829027,-0.053579119428434296,16,0.0018570111888651048,0.0006318708294871195,-0.7211746303417612,0.0013392293576703065
52,INM-CM4-8:p1:2016:2050,2016,2050,0.4655339702136985,0.7422410517559115,3,0.001975717162829149,0.0004508114028815984,0.26563681501196107,-0.0005248232144984033
53,INM-CM4-8:p1:2051:2100,2051,2100,0.671358882154891,2.347314981675765,3,0.0011930503612736778,0.00011443527323686876,0.7369617460095428,-0.0008792324773215654
54,INM-CM4-8:p1f1:historical,1850,2014,-0.8513765566731877,-0.06810939519056093,4,0.0010113711725528278,0.00020549823656680074,-0.0930252821540867,9.408308868923631e-05
55,INM-CM5-0:p1:2016:2050,2016,2050,0.6037526103974642,0.7800737695783369,3,0.0009310713381345977,0.0007727535513232056,-1.6511373231444988,0.0015373266369041261
56,INM-CM5-0:p1:2051:2100,2051,2100,0.726943907834027,2.2778668693829904,3,0.0008342722092384967,0.0009620512053696777,-2.6072953798021214,0.002175194076644841
57,INM-CM5-0:p1f1:historical,1850,2014,-0.7913651168544789,-0.06694860952330828,4,0.001926643977572755,0.00012473750393943593,-0.77208663455849,0.0014875360646365314
58,IPSL-CM5A2-INCA:p1f1:historical,1850,2014,-1.3026430666056967,-0.06510855633280244,4,0.0007234023939372811,0.00012365999207694062,-1.3005954420977859,0.0009408538563574547
59,IPSL-CM6A-LR-INCA:p1f1:historical,1850,2014,-1.0923224430458165,-0.058043079099775234,4,0.001835161806795124,0.0005156528958093758,-1.061461640013044,0.0019479538611300534
60,IPSL-CM6A-LR:p1:2016:2050,2016,2050,0.7667970384869705,0.9986494518461768,9,0.002267166062289408,0.0005959068096815506,-0.010118259742300798,2.2939775097173543e-05
61,IPSL-CM6A-LR:p1:2051:2100,2051,2100,1.2442016855875409,3.7299047597249455,9,0.0012472345937429741,5.416603029585141e-05,0.2030447089059906,-0.00025324438502402364
62,IPSL-CM6A-LR:p1f1:historical,1850,2014,-1.175941574495596,-0.05057027512702916,36,0.0011006086324999579,7.545468545685442e-05,-1.013672722744383,0.0011156569491822042
63,MCM-UA-1-0:p1f1:historical,1850,2014,-1.1051931465477196,-0.06619772817009563,4,0.0007325521577685315,0.0001074186399922423,-1.2732951372372276,0.0009327551002593095
64,MIROC6:p1:2016:2050,2016,2050,0.5356712878703433,0.7183282756046196,9,0.0030564321609448243,0.000920187395048546,-0.04783764541702917,0.00014621251795648275
65,MIROC6:p1:2051:2100,2051,2100,0.8003731543518029,2.4515988170625747,9,0.001672099522561549,0.00011724133473075319,-0.05202147385161219,8.698508159022884e-05
66,MIROC6:p1f1:historical,1850,2014,-0.5902903823159704,-0.03575023203296723,4,0.002030103668863112,0.0003772516751197507,-0.5428415274349635,0.001102024576456975
67,MPI-ESM-1-2-HAM:p1f1:historical,1850,2014,-0.4541252074652675,-0.04053023604308237,4,0.002726872778920311,0.0006281654870524858,-0.5105416425398666,0.001392182107547226
68,MPI-ESM1-2-HR:p1:2016:2050,2016,2050,0.3947944945512632,0.7005728964523428,4,0.0010993622152234517,0.0011719090266396426,-1.0748681986226596,0.0011816694839110482
69,MPI-ESM1-2-HR:p1:2051:2100,2051,2100,0.5970767546231741,2.3403294780634383,4,0.0016585825838537898,0.00018244026346104738,-0.027536418663188234,4.567142441647046e-05
70,MPI-ESM1-2-HR:p1f1:historical,1850,2014,-0.8275648415875594,-0.05580499297843744,4,0.001819465909536625,0.0001234564102778628,-0.7708599879997866,0.0014025534691914235
71,MPI-ESM1-2-LR:p1:2016:2050,2016,2050,0.36165859879156415,0.628275267567119,9,0.003550276293150659,0.001365087642663204,-0.07638612447401229,0.00027119184684574115
72,MPI-ESM1-2-LR:p1:2051:2100,2051,2100,0.6385916550116235,2.3761424086516736,9,0.0017432448862571117,0.00026296646392431075,-0.19233488868324175,0.000335286811145892
