,model,scenario,startyr,endyr,Tavg,Tavg_ice,p,ice_sample,risk_averse,Steric,WAIS,EAIS,PEN,GIC,GrIS,AIS,GMSL
40,INM-CM4-8,SSP585,2016,2050,0.7422410517559115,0.7242848399481746,1,7,False,0.001807850155733062,-0.00010095514705882356,4.3662254901960775e-05,-1.0117156862745097e-05,0.0015424428921568631,0.0008644960784313727,-6.741004901960788e-05,0.00414737907730169
41,MPI-ESM1-2-HR,SSP585,2051,2100,2.3403294780634383,2.2759905542338887,1,7,False,0.003671594864627194,0.0006133491496598637,-2.0641156462585087e-05,-0.00012815272108843533,0.0019063726190476171,0.0018835896258503388,0.00046455527210884323,0.007926112381633994
42,NorESM2-MM,SSP126,2016,2050,0.6513889376872157,0.6512048399481746,1,8,False,0.002088967791089495,0.00017127401960784317,-6.26311274509804e-05,-1.645245098039218e-05,0.0012032840686274516,0.000440220343137255,9.21904411764706e-05,0.003824662644030672
43,MIROC6,SSP126,2051,2100,0.8457049046690107,0.961150554233889,1,8,False,0.001318546828291904,0.0007980707482993192,0.00012810646258503404,1.5139455782313425e-06,0.0008317736394557814,0.0004183846938775504,0.0009276911564625846,0.0034963963180878205
44,GFDL-ESM4,SSP245,2016,2050,0.6669517599333972,0.6540876970910318,1,8,False,0.0016298540125882326,0.0001840026960784314,-5.453725490196081e-05,-3.0661274509803916e-05,0.0012893149509803927,0.0004936549019607843,9.880416666666666e-05,0.0035116280321960762
45,FGOALS-g3,SSP245,2051,2100,1.1870082738879546,1.4565905542338888,1,8,False,0.0010558263341931813,-0.00020398197278911572,-8.598996598639459e-05,-1.9880952380952357e-06,0.0014211935374149644,0.000877599489795918,-0.00029196003401360553,0.003062659327390458
46,NorESM2-LM,SSP585,2016,2050,0.6638960521598847,0.8007476970910318,1,8,False,0.00240283751362545,0.0001367301470588235,-2.485196078431373e-05,-1.313210784313726e-05,0.0015208093137254904,0.0004766752450980393,9.874607843137251e-05,0.004499068150880353
47,FGOALS-f3-L,SSP585,2051,2100,2.7829819629452004,2.570126554233889,1,8,False,0.0040229880052222505,0.0006333362244897956,-0.00039713656462585017,-6.27785714285714e-05,0.00234707551020408,0.0019682988095238085,0.0001734210884353741,0.008511783413385512
48,GFDL-ESM4,SSP126,2016,2050,0.6077209889131154,0.6598476970910317,1,9,False,0.001233272597981362,0.00010299093137254903,-3.930637254901956e-06,-3.1767401960784315e-05,0.0011435735294117644,0.000519100980392157,6.729289215686276e-05,0.002963239999942146
49,IPSL-CM6A-LR,SSP126,2051,2100,1.251017913818373,0.904748554233889,1,9,False,0.0016275875472130325,-0.0003185253401360544,0.00047121615646258475,3.331394557823129e-05,0.0010458835034013608,0.0005625792517006802,0.00018600476190476162,0.0034220550642198345
50,EC-Earth3-CC,SSP245,2016,2050,0.5685827877334759,0.6817619828053175,1,9,False,0.0015789560479443341,9.731568627450978e-05,-3.28921568627452e-06,-7.201715686274514e-06,0.0012186882352941178,0.0005150620098039216,8.682475490196075e-05,0.003399531047944334
51,BCC-CSM2-MR,SSP245,2051,2100,1.6169029031977402,1.4973465542338888,1,9,False,0.001947854807975655,5.32852040816326e-05,-0.00013365476190476186,-7.099829931972788e-05,0.0012803176870748289,0.0009569435374149652,-0.00015136785714285714,0.004033748175322593
52,GFDL-ESM4,SSP585,2016,2050,0.7156126918208656,0.8348619828053175,1,9,False,0.0013905899737747954,6.194975490196083e-05,-0.00011078504901960789,9.33235294117646e-06,0.0015972774509803926,0.0007076781862745098,-3.9502941176470597e-05,0.0036560426698532275
53,BCC-CSM2-MR,SSP585,2051,2100,2.7309033465028847,2.710468554233889,1,9,False,0.003551224632317927,0.0008095448979591834,-0.00012129846938775496,-3.8373129251700644e-05,0.0022288610544217674,0.0016781091836734685,0.0006498732993197278,0.00810806816973289
54,IPSL-CM5A2-INCA,SSP126,2016,2050,0.8259282793317198,0.6144305542338889,1,10,False,0.002177911115355796,0.00037652450980392167,4.535049019607844e-05,-1.0191911764705886e-05,0.0010956306372549023,0.0004203000000000001,0.0004116830882352942,0.004105524840845993
55,MPI-ESM1-2-HR,SSP126,2051,2100,0.6843871888242461,0.9334405542338888,1,10,False,0.0005945290802693041,0.002137082312925169,0.0003598780612244897,-3.052840136054421e-05,0.0010750256802721078,0.000466705272108843,0.0024664319727891143,0.00460269200543937
56,MPI-ESM1-2-HR,SSP245,2016,2050,0.607796501402504,0.669433411376746,1,10,False,0.001615115079412923,0.0005244519607843139,2.296960784313728e-05,-1.3723774509803924e-05,0.0013356617647058825,0.0005019259803921569,0.0005336977941176473,0.0039864006186286095
57,MIROC6,SSP245,2051,2100,1.3559386365224482,1.4870645542338892,1,10,False,0.0022340578830070917,0.0008805496598639457,-0.00016488996598639457,-1.1833843537414955e-05,0.0015832719387755092,0.0005450151360544217,0.0007038258503401361,0.00506617080817716
58,NorESM2-LM,SSP585,2016,2050,0.6638960521598847,0.8121876970910318,1,10,False,0.002395341745949471,0.00048271813725490203,-0.00010218112745098042,-1.6865931372549026e-05,0.0016812105392156867,0.0005613825980392157,0.00036367107843137254,0.005001605961635747
59,NorESM2-LM,SSP585,2051,2100,2.3402745335117743,2.5559365542338894,1,10,False,0.0042501859267513546,0.0016462814625850335,-0.0003619357142857143,-4.0491156462585024e-05,0.001939940306122448,0.0015409579931972785,0.0012438545918367343,0.008974938817907816
60,MPI-ESM1-2-HR,SSP126,2016,2050,0.4877387425366066,0.5025391256624603,1,11,False,0.0013172326183257005,0.00019395441176470592,0.00012656911764705883,2.839607843137256e-05,0.000916125,0.0003981267156862746,0.00034891960784313726,0.002980403941855112
61,MPI-ESM1-2-HR,SSP126,2051,2100,0.6843871888242461,0.6751325542338888,1,11,False,0.0009949165260945709,0.0009106054421768703,0.00045964506802721066,0.00014142585034013601,0.0008707192176870741,-0.00024435204081632664,0.0015116763605442169,0.0031329600635095355
62,FGOALS-g3,SSP245,2016,2050,0.6052066395519661,0.5554248399481747,1,11,False,0.0015766864654393883,0.0002557122549019609,0.0001212438725490196,5.725808823529412e-05,0.0011649654411764708,0.000321209068627451,0.00043421421568627455,0.003497075190929585
63,GFDL-ESM4,SSP245,2051,2100,1.4098197525913747,1.1387505542338892,1,11,False,0.0025317230800049628,0.0006898425170068026,0.00033997687074829907,0.0001281110544217687,0.0010545523809523793,0.0005640370748299315,0.0011579304421768704,0.005308242977964143
