model,run,model_p,model_f,odm,grad,intercept,num_nan
HadGEM3-GC31-LL,r2i1p1f3_gn,1,3,0.959572897138804,0.1094501110378226,-216.5725227905336,0
HadGEM3-GC31-LL,r3i1p1f3_gn,1,3,0.9629971744609639,0.07588111988480944,-149.85072859659783,0
HadGEM3-GC31-LL,r4i1p1f3_gn,1,3,2.2156944713154862,0.005353060548063065,-8.423513367959856,0
HadGEM3-GC31-LL,r5i1p1f3_gn,1,3,5.725302178776207,-0.2682687672915146,538.9094771706615,0
HadGEM3-GC31-MM,r1i1p1f3_gn,1,3,2.85230057184823,-0.12558655790687379,252.45558441175987,0
HadGEM3-GC31-MM,r2i1p1f3_gn,1,3,6.05921945301951,-0.29895421604929145,600.2307238509862,0
HadGEM3-GC31-MM,r3i1p1f3_gn,1,3,5.2477572344567465,-0.16784888957074562,338.84742525631367,0
HadGEM3-GC31-MM,r4i1p1f3_gn,1,3,-18.687555940872155,1.186754228859526,-2377.3615857991804,0
INM-CM4-8,r1i1p1f1_gr1,1,1,-16.50042931906123,1.0542431285551617,-2111.8086473224453,0
INM-CM5-0,r1i1p1f1_gr1,1,1,5.2786677167247005,-0.2935617846968264,588.7327148016673,0
IPSL-CM5A2-INCA,r1i1p1f1_gn,1,1,-1.4122627353178696,0.06188652277146217,-124.41172674359893,0
IPSL-CM6A-LR,r1i1p1f1_gn,1,1,-1.0703750973450379,0.1595376989740202,-318.15155180821023,0
IPSL-CM6A-LR,r2i1p1f1_gn,1,1,-1.3986879364159936,0.11682931577070027,-233.59695303068278,0
IPSL-CM6A-LR,r3i1p1f1_gn,1,1,-0.597600493216571,0.1303070342747861,-259.58283111435395,0
IPSL-CM6A-LR,r4i1p1f1_gn,1,1,-0.24083562200339978,0.11963445163678324,-238.0143082501101,0
IPSL-CM6A-LR,r5i1p1f1_gn,1,1,0.07519361144066838,0.04175866844782186,-82.92015992860529,0
IPSL-CM6A-LR,r6i1p1f1_gn,1,1,-1.7141581674920754,0.1651295498216781,-329.9091384380773,0
IPSL-CM6A-LR,r7i1p1f1_gn,1,1,1.357853643545783,-0.086824585914305,173.92171814822697,0
IPSL-CM6A-LR,r8i1p1f1_gn,1,1,-0.09125849361292865,0.11423491116349452,-227.1331444310583,0
IPSL-CM6A-LR,r9i1p1f1_gn,1,1,-3.822983156526145,0.2300723643944223,-461.09180739044047,0
IPSL-CM6A-LR-INCA,r1i1p1f1_gn,1,1,10.550944992601153,-0.650980933970236,1304.3755512584453,0
MCM-UA-1-0,r1i1p1f1_gn,1,1,-1.0842517142998414,0.04190893326947123,-84.37825658737391,0
MIROC6,r1i1p1f1_gm,1,1,-3.1674969892210996,0.3082302736645346,-615.7751658974837,0
MPI-ESM-1-2-HAM,r1i1p1f1_gn,1,1,2.0825604953195747,-0.10600225691169389,212.76204610731116,0
MPI-ESM1-2-HR,r1i1p1f1_gn,1,1,3.359764146257715,-0.2242477348228219,449.0521371066162,0
MPI-ESM1-2-LR,r1i1p1f1_gn,1,1,1.4941225192109178,0.009748426615961701,-17.880875380012963,0
MRI-ESM2-0,r1i1p1f1_gm,1,1,-3.1799342453259296,0.30511397108277405,-609.5939517723394,0
NESM3,r1i1p1f1_gn,1,1,-8.575442774685612,0.6634783444163346,-1327.2386523021505,0
NorESM2-LM,r1i1p1f1_gm,1,1,-7.529373712267205,0.5940324453564608,-1188.168858858233,0
NorESM2-MM,r1i1p1f1_gm,1,1,-3.4244967707833216,0.2678046271408233,-535.6861932131696,0
SAM0-UNICON,r1i1p1f1_gn,1,1,-0.9550514801184902,0.19699849228524485,-392.48955489704264,0
UKESM1-0-LL,r10i1p1f2_gn,1,2,-4.436964974685566,0.4091168879112528,-817.5567796983005,0
UKESM1-0-LL,r11i1p1f2_gn,1,2,-2.8713551892678506,0.3035702556325662,-606.2172382589931,0
UKESM1-0-LL,r12i1p1f2_gn,1,2,-4.485989719679677,0.3816098318205837,-762.9355304630898,0
UKESM1-0-LL,r13i1p1f2_gn,1,2,-1.3749639468978414,0.2596985266458343,-517.5257856554936,0
UKESM1-0-LL,r16i1p1f2_gn,1,2,-0.885307845192542,0.203594799436811,-405.5299717258544,0
UKESM1-0-LL,r17i1p1f2_gn,1,2,-2.095261056440463,0.3794420529854036,-756.2363413649301,0
UKESM1-0-LL,r18i1p1f2_gn,1,2,-4.3405500899262455,0.4297183812193889,-858.4058327634617,0
