,ice_source,region,sample,scenario,risk_averse,startyr,endyr,dTdt,Tavg,dSdt
3507,GrIS,,254,SSP370,False,2051,2100,0.04791301320528183,2.7329285542338897,0.0013862767006802715
3508,GrIS,,255,SSP370,False,2016,2050,0.025979803921568366,0.6757305542338888,0.0003929975490196079
3509,GrIS,,255,SSP370,False,2051,2100,0.031882276110444,1.903270554233889,0.001381102040816326
3510,GrIS,,256,SSP370,False,2016,2050,0.026537787114845675,0.6803962685196032,0.0003917583333333334
3511,GrIS,,256,SSP370,False,2051,2100,0.029499457382953023,1.8705585542338887,0.001329383163265306
3512,GrIS,,257,SSP370,False,2016,2050,0.02459703081232468,0.6467476970910319,0.0004928203431372552
3513,GrIS,,257,SSP370,False,2051,2100,0.02719559183673454,1.744834554233889,0.0016999049319727881
3514,GrIS,,258,SSP370,False,2016,2050,0.02976910364145627,0.727550554233889,0.000589223774509804
3515,GrIS,,258,SSP370,False,2051,2100,0.03537189435774289,2.1191885542338893,0.0011835624149659856
3516,GrIS,,259,SSP370,False,2016,2050,0.028650196078431077,0.7125048399481746,-0.0013448921568627453
3517,GrIS,,259,SSP370,False,2051,2100,0.03503359903961566,2.076716554233889,-0.0029024375850340125
3518,GrIS,,260,SSP370,False,2016,2050,0.022728291316526383,0.6206791256624603,0.00025360318627450985
3519,GrIS,,260,SSP370,False,2051,2100,0.025137421368547273,1.637886554233889,0.00044658724489795876
3520,GrIS,,261,SSP370,False,2016,2050,0.028444845938375058,0.7176362685196034,0.0004260455882352942
3521,GrIS,,261,SSP370,False,2051,2100,0.034442751500600055,2.071728554233889,0.0015477996598639446
3522,GrIS,,262,SSP370,False,2016,2050,0.030926610644257394,0.7680705542338888,0.0004341394607843138
3523,GrIS,,262,SSP370,False,2051,2100,0.03499394477791098,2.173320554233889,0.0010093413265306122
3524,GrIS,,263,SSP370,False,2016,2050,0.025525630252100584,0.6655848399481746,0.000484925980392157
3525,GrIS,,263,SSP370,False,2051,2100,0.028086372148859378,1.802060554233889,0.0005040772108843536
3526,GrIS,,264,SSP370,False,2016,2050,0.01736770308123232,0.5242191256624604,0.00016905735294117655
3527,GrIS,,264,SSP370,False,2051,2100,0.01987247058823518,1.316782554233889,0.0009463149659863944
