,model,run,scenario,startyr,endyr,Tavg,dSdt
82,CanESM5,r1i1p1f1_gn,historical,1950,2000,-0.7512275893404876,0.000127913448959589
83,CanESM5,r1i1p1f1_gn,historical,1992,2014,-0.08527174833250228,0.0013275315815752203
84,CanESM5,r1i1p2f1_gn,historical,1850,1900,-1.3373386854718206,-0.00025437744334340097
85,CanESM5,r1i1p2f1_gn,historical,1900,1950,-1.0963456115773056,-0.00019722333177924156
86,CanESM5,r1i1p2f1_gn,historical,1950,2000,-0.8237362061670979,0.00020479492843151093
87,CanESM5,r1i1p2f1_gn,historical,1992,2014,-0.09184437940854195,0.0013944996012882752
88,CanESM5,r20i1p1f1_gn,historical,1850,1900,-1.261877129421464,-0.0002086249366402626
89,CanESM5,r20i1p1f1_gn,historical,1900,1950,-1.1143645019372457,-0.00017441401258111
90,CanESM5,r20i1p1f1_gn,historical,1950,2000,-0.8192337250844162,0.0001897624135017395
91,CanESM5,r20i1p1f1_gn,historical,1992,2014,-0.08776946429162535,0.0013441777026111429
92,CanESM5,r21i1p1f1_gn,historical,1850,1900,-1.3193661958821394,-0.00022608470171689988
93,CanESM5,r21i1p1f1_gn,historical,1900,1950,-1.0818879943570892,-0.00012762039899826049
94,CanESM5,r21i1p1f1_gn,historical,1950,2000,-0.7958895024945605,0.0001848796010017395
95,CanESM5,r21i1p1f1_gn,historical,1992,2014,-0.0915681280544618,0.0013968898830088701
96,CanESM5,r22i1p1f1_gn,historical,1850,1900,-1.3416342299285589,-0.0002794997021555901
97,CanESM5,r22i1p1f1_gn,historical,1900,1950,-1.2051596453334241,-7.43163749575615e-05
98,CanESM5,r22i1p1f1_gn,historical,1950,2000,-0.7992484066249403,0.00022597661241889
99,CanESM5,r22i1p1f1_gn,historical,1992,2014,-0.08448050373885962,0.0013802437619729476
100,CanESM5,r23i1p1f1_gn,historical,1850,1900,-1.344260564507465,-0.00014377972111105918
101,CanESM5,r23i1p1f1_gn,historical,1900,1950,-1.135732044118697,-0.0001646483689546585
102,CanESM5,r23i1p1f1_gn,historical,1950,2000,-0.8826627668075275,0.0002499837428331375
103,CanESM5,r23i1p1f1_gn,historical,1992,2014,-0.07886082113054727,0.0013525006784634156
104,CanESM5,r24i1p1f1_gn,historical,1850,1900,-1.3444582420401616,-0.00021358171477913856
105,CanESM5,r24i1p1f1_gn,historical,1900,1950,-1.2113605177268028,-0.000102799441665411
106,CanESM5,r24i1p1f1_gn,historical,1950,2000,-0.8432769440527181,0.00015354822389781475
107,CanESM5,r24i1p1f1_gn,historical,1992,2014,-0.08513442879120703,0.001229505477981134
108,CanESM5,r25i1p1f1_gn,historical,1850,1900,-1.254471244870274,-0.00017285464331507684
109,CanESM5,r25i1p1f1_gn,historical,1900,1950,-1.0830521263163178,-0.00017563473433256148
110,CanESM5,r25i1p1f1_gn,historical,1950,2000,-0.8405987832784376,0.0002312663197517395
111,CanESM5,r25i1p1f1_gn,historical,1992,2014,-0.07282582557428441,0.0013756199993870475
112,CanESM5,r2i1p1f1_gn,historical,1850,1900,-1.1663750400281288,-0.0003563670068979263
113,CanESM5,r2i1p1f1_gn,historical,1900,1950,-1.0545079036488687,-8.977860212326049e-05
114,CanESM5,r2i1p1f1_gn,historical,1950,2000,-0.7095648714407616,0.00014703781343996524
115,CanESM5,r2i1p1f1_gn,historical,1992,2014,-0.07092881647616878,0.0014005889269438658
116,CanESM5,r2i1p2f1_gn,historical,1850,1900,-1.263679813853173,-0.00026891490444540977
117,CanESM5,r2i1p2f1_gn,historical,1900,1950,-1.064064111909488,-5.684245377779007e-05
118,CanESM5,r2i1p2f1_gn,historical,1950,2000,-0.744426527870985,0.00011242836713790893
119,CanESM5,r2i1p2f1_gn,historical,1992,2014,-0.09465016357341938,0.0013760040429505434
120,CanESM5,r3i1p1f1_gn,historical,1850,1900,-1.2234106377076728,-0.0003463054820895195
121,CanESM5,r3i1p1f1_gn,historical,1900,1950,-1.0931343228135688,-9.954421781003475e-05
122,CanESM5,r3i1p1f1_gn,historical,1950,2000,-0.756570242270584,0.000191390011459589
123,CanESM5,r3i1p1f1_gn,historical,1992,2014,-0.08934724866145416,0.0013321555134924975
124,CanESM5,r3i1p2f1_gn,historical,1850,1900,-1.2123136062780873,-0.00019929785281419754
125,CanESM5,r3i1p2f1_gn,historical,1900,1950,-1.0402274805014144,-0.00022082358598709105
126,CanESM5,r3i1p2f1_gn,historical,1950,2000,-0.8208023473918047,0.00016980141401290894
127,CanESM5,r3i1p2f1_gn,historical,1992,2014,-0.09742039928744362,0.0012567080557346344
128,CanESM5,r4i1p1f1_gn,historical,1850,1900,-1.3712314064556494,-0.0001721148192882538
129,CanESM5,r4i1p1f1_gn,historical,1900,1950,-1.1439847652785033,-0.0001642414927482605
130,CanESM5,r4i1p1f1_gn,historical,1950,2000,-0.8751506462050997,0.00018040368333458901
131,CanESM5,r4i1p1f1_gn,historical,1992,2014,-0.10033181301793093,0.001379319043322043
132,CanESM5,r4i1p2f1_gn,historical,1850,1900,-1.2666179030567832,-0.00025323070585727694
133,CanESM5,r4i1p2f1_gn,historical,1900,1950,-1.161210821857992,-9.020835161209106e-05
134,CanESM5,r4i1p2f1_gn,historical,1950,2000,-0.7612913660148024,0.00010510416701436043
135,CanESM5,r4i1p2f1_gn,historical,1992,2014,-0.07864922364223048,0.001443512737751007
136,CanESM5,r5i1p1f1_gn,historical,1850,1900,-1.2025996045201168,-0.00031856220215559006
137,CanESM5,r5i1p1f1_gn,historical,1900,1950,-1.1393737989926649,-0.00012762039899826049
138,CanESM5,r5i1p1f1_gn,historical,1950,2000,-0.7957154112411331,0.0001759277656674385
139,CanESM5,r5i1p1f1_gn,historical,1992,2014,-0.08035332832537279,0.0013996642082929611
140,CanESM5,r5i1p2f1_gn,historical,1850,1900,-1.3262200327925484,-0.00026847103610634805
141,CanESM5,r5i1p2f1_gn,historical,1900,1950,-1.1482506599936073,-0.00011136719025671482
142,CanESM5,r5i1p2f1_gn,historical,1950,2000,-0.9322710607146405,0.00023002278059720992
143,CanESM5,r5i1p2f1_gn,historical,1992,2014,-0.11009675593521706,0.0013362386856566775
144,CanESM5,r6i1p1f1_gn,historical,1850,1900,-1.3102782269023123,-0.00022142382338643073
145,CanESM5,r6i1p1f1_gn,historical,1900,1950,-1.0843435682293148,-0.000134537722915411
146,CanESM5,r6i1p1f1_gn,historical,1950,2000,-0.7934593923787361,0.00013767908327281476
147,CanESM5,r6i1p1f1_gn,historical,1992,2014,-0.07042641859982268,0.0012517000802538612
148,CanESM5,r6i1p2f1_gn,historical,1850,1900,-1.2907108269897094,-0.000329173244535923
149,CanESM5,r6i1p2f1_gn,historical,1900,1950,-1.1275613563799425,-0.00012927085161209105
150,CanESM5,r6i1p2f1_gn,historical,1950,2000,-0.8158451991837978,0.00022107096388936044
151,CanESM5,r6i1p2f1_gn,historical,1992,2014,-0.08604586758173127,0.0014388888058337298
152,CanESM5,r7i1p1f1_gn,historical,1850,1900,-1.2609950664215148,-0.00038015224039554595
153,CanESM5,r7i1p1f1_gn,historical,1900,1950,-1.141992434968131,-6.251624785363674e-05
154,CanESM5,r7i1p1f1_gn,historical,1950,2000,-0.7954082642216349,0.000175520870834589
155,CanESM5,r7i1p1f1_gn,historical,1992,2014,-0.07773948065175773,0.0012849919836629522
156,CanESM5,r7i1p2f1_gn,historical,1850,1900,-1.3591116377954222,-0.0002572997286915779
157,CanESM5,r7i1p2f1_gn,historical,1900,1950,-1.097081558480852,-0.0001268294546753168
158,CanESM5,r7i1p2f1_gn,historical,1950,2000,-0.8169559409274143,0.00022839518263936042
159,CanESM5,r7i1p2f1_gn,historical,1992,2014,-0.06813137878623365,0.0013482607901096344
160,CanESM5,r8i1p1f1_gn,historical,1850,1900,-1.3490102897104634,-0.00032670021057128906
161,CanESM5,r8i1p1f1_gn,historical,1900,1950,-1.2660578690696411,-0.00012477210722863674
162,CanESM5,r8i1p1f1_gn,historical,1950,2000,-0.9569349429900171,0.0002349284291267395
163,CanESM5,r8i1p1f1_gn,historical,1992,2014,-0.09103360753971401,0.001229505477981134
164,CanESM5,r8i1p2f1_gn,historical,1850,1900,-1.1982042683136456,-0.0003081253543496132
165,CanESM5,r8i1p2f1_gn,historical,1900,1950,-1.0903765240060466,-7.678062655031682e-05
166,CanESM5,r8i1p2f1_gn,historical,1950,2000,-0.7685404204605106,0.00015067708678543568
167,CanESM5,r8i1p2f1_gn,historical,1992,2014,-0.06826757119063132,0.0013760040429505434
168,CanESM5,r9i1p1f1_gn,historical,1850,1900,-1.223970403921271,-0.0002632606402039528
169,CanESM5,r9i1p1f1_gn,historical,1900,1950,-1.0735913659586345,-0.0001784830167889595
170,CanESM5,r9i1p1f1_gn,historical,1950,2000,-0.7570699563234484,0.000209700558334589
171,CanESM5,r9i1p1f1_gn,historical,1992,2014,-0.08752991438893787,0.001440354199572043
172,CanESM5,r9i1p2f1_gn,historical,1850,1900,-1.3638139169528358,-0.0002564489468932152
173,CanESM5,r9i1p2f1_gn,historical,1900,1950,-1.2409529510266566,-0.00014351237565279006
174,CanESM5,r9i1p2f1_gn,historical,1950,2000,-0.9252172800563585,0.00021374674513936043
175,CanESM5,r9i1p2f1_gn,historical,1992,2014,-0.10127828430677255,0.0013898756693709981
176,CESM2,r11i1p1f1_gr,historical,1850,1900,-0.7112384436493926,0.0001690041646361351
177,CESM2,r11i1p1f1_gr,historical,1900,1950,-0.6549944883457215,9.139319881796837e-05
178,CESM2,r11i1p1f1_gr,historical,1950,2000,-0.5152400949423281,0.0002871125191450119
179,CESM2,r11i1p1f1_gr,historical,1992,2014,-0.06291595688696816,0.0012521339072422547
180,CESM2,r2i1p1f1_gr,historical,1850,1900,-0.9707167463753308,5.277840420603752e-05
181,CESM2,r2i1p1f1_gr,historical,1900,1950,-0.8488823090773963,0.00013940750621259214
182,CESM2,r2i1p1f1_gr,historical,1950,2000,-0.6408158672169861,0.00015405590645968913
183,CESM2,r2i1p1f1_gr,historical,1992,2014,-0.08085667816493469,0.0013270406899127092
184,CESM2,r4i1p1f1_gr,historical,1850,1900,-0.8951737446750485,0.00012679740786552429
185,CESM2,r4i1p1f1_gr,historical,1900,1950,-0.756035173733494,0.00013859368860721588
186,CESM2,r4i1p1f1_gr,historical,1950,2000,-0.5243329747474377,0.0002041047252714634
187,CESM2,r4i1p1f1_gr,historical,1992,2014,-0.054120916590989054,0.0012937487865036185
188,CESM2,r6i1p1f1_gr,historical,1850,1900,-0.9478895424765028,0.00015860967338085174
189,CESM2,r6i1p1f1_gr,historical,1900,1950,-0.8150037800622272,0.00019108396023511886
190,CESM2,r6i1p1f1_gr,historical,1950,2000,-0.6448205595768854,0.0002854849211871624
191,CESM2,r6i1p1f1_gr,historical,1992,2014,-0.06309194252230554,0.0012502843852747571
192,CESM2,r8i1p1f1_gr,historical,1850,1900,-0.8671332456613072,0.00023207377642393113
193,CESM2,r8i1p1f1_gr,historical,1900,1950,-0.7184977053764214,0.00018579425290226936
