,model,run,scenario,startyr,endyr,Tavg,dSdt,r,i,p,f,model_key,probability_weight,counts
63,CanESM5,r6i1p1f1_gn,historical,1850,1900,-1.3102782269023123,-2.2342577576637268e-05,6,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
64,CanESM5,r6i1p2f1_gn,historical,1850,1900,-1.2907108269897094,-6.277367472648621e-05,6,1,2,1,CanESM5:p1:1850:1900:historical,0.4226467726559676,35
65,CanESM5,r7i1p1f1_gn,historical,1850,1900,-1.2609950664215148,4.953101277351379e-05,7,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
66,CanESM5,r7i1p2f1_gn,historical,1850,1900,-1.3591116377954222,-9.321719408035279e-06,7,1,2,1,CanESM5:p1:1850:1900:historical,0.47838922131821365,35
67,CanESM5,r8i1p1f1_gn,historical,1850,1900,-1.3490102897104634,-1.2946873903274537e-06,8,1,1,1,CanESM5:p1:1850:1900:historical,0.6402702432630811,35
68,CanESM5,r8i1p2f1_gn,historical,1850,1900,-1.1982042683136456,5.411781370639801e-05,8,1,2,1,CanESM5:p1:1850:1900:historical,0.3870952412069563,35
69,CanESM5,r9i1p1f1_gn,historical,1850,1900,-1.2239704039212709,5.038172006607056e-05,9,1,1,1,CanESM5:p1:1850:1900:historical,0.0,35
70,CanESM5,r9i1p2f1_gn,historical,1850,1900,-1.3638139169528358,0.0001736357808113098,9,1,2,1,CanESM5:p1:1850:1900:historical,0.5556320477880918,35
71,CanESM5,r10i1p1f1_gn,historical,1900,1950,-1.1207246864771605,0.000179443359375,10,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
72,CanESM5,r10i1p2f1_gn,historical,1900,1950,-1.1573592964841168,0.000198567695915699,10,1,2,1,CanESM5:p1:1900:1950:historical,0.47671554418524115,35
73,CanESM5,r11i1p1f1_gn,historical,1900,1950,-1.1337381689673407,0.00016031898558139802,11,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
74,CanESM5,r12i1p1f1_gn,historical,1900,1950,-1.1656294516269554,0.00015665691345930098,12,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
75,CanESM5,r13i1p1f1_gn,historical,1900,1950,-1.151738685300927,0.00018107093870639799,13,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
76,CanESM5,r14i1p1f1_gn,historical,1900,1950,-1.1648416006585194,0.000210367850959301,14,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
77,CanESM5,r15i1p1f1_gn,historical,1900,1950,-1.104745534443282,0.000137125663459301,15,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
78,CanESM5,r16i1p1f1_gn,historical,1900,1950,-1.0517937060574811,0.000222981795668602,16,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
79,CanESM5,r17i1p1f1_gn,historical,1900,1950,-1.1293747987351708,0.00017211910337209705,17,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
80,CanESM5,r18i1p1f1_gn,historical,1900,1950,-1.2089954053130896,0.000192464180290699,18,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
81,CanESM5,r19i1p1f1_gn,historical,1900,1950,-1.1035113688931233,0.000150553397834301,19,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
82,CanESM5,r1i1p1f1_gn,historical,1900,1950,-1.0794076797890284,0.00010986331850290298,1,1,1,1,CanESM5:p1:1900:1950:historical,0.5111784829582484,35
83,CanESM5,r1i1p2f1_gn,historical,1900,1950,-1.0963456115773056,0.000143229179084301,1,1,2,1,CanESM5:p1:1900:1950:historical,0.4653912433877927,35
