,model,run,scenario,startyr,endyr,Tavg,dSdt
140,CanESM5,r5i1p2f1_gn,historical,1850,1900,-1.3262200327925484,9.595461189746856e-05
141,CanESM5,r5i1p2f1_gn,historical,1900,1950,-1.1482506599936073,0.000183105506002903
142,CanESM5,r5i1p2f1_gn,historical,1950,2000,-0.9322710607146405,0.000455322265625
143,CanESM5,r5i1p2f1_gn,historical,1992,2014,-0.11009675593521706,0.0015693432228131728
144,CanESM5,r6i1p1f1_gn,historical,1850,1900,-1.3102782269023123,-2.2342577576637268e-05
145,CanESM5,r6i1p1f1_gn,historical,1900,1950,-1.0843435682293148,0.00017781578004360198
146,CanESM5,r6i1p1f1_gn,historical,1950,2000,-0.7934593923787361,0.000528157539665699
147,CanESM5,r6i1p1f1_gn,historical,1992,2014,-0.07042641859982268,0.0017459753223440864
148,CanESM5,r6i1p2f1_gn,historical,1850,1900,-1.2907108269897094,-6.277367472648621e-05
149,CanESM5,r6i1p2f1_gn,historical,1900,1950,-1.1275613563799425,0.000255126915872097
150,CanESM5,r6i1p2f1_gn,historical,1950,2000,-0.8158451991837978,0.0004931640625
151,CanESM5,r6i1p2f1_gn,historical,1992,2014,-0.08604586758173127,0.0016026352955536408
152,CanESM5,r7i1p1f1_gn,historical,1850,1900,-1.2609950664215148,4.953101277351379e-05
153,CanESM5,r7i1p1f1_gn,historical,1900,1950,-1.141992434968131,0.00018025714904069902
154,CanESM5,r7i1p1f1_gn,historical,1950,2000,-0.7954082642216349,0.000535481758415699
155,CanESM5,r7i1p1f1_gn,historical,1992,2014,-0.07773948065175773,0.001655347475951368
156,CanESM5,r7i1p2f1_gn,historical,1850,1900,-1.3591116377954222,-9.321719408035279e-06
157,CanESM5,r7i1p2f1_gn,historical,1900,1950,-1.097081558480852,0.00019287109375
158,CanESM5,r7i1p2f1_gn,historical,1950,2000,-0.8169559409274143,0.000552571602165699
159,CanESM5,r7i1p2f1_gn,historical,1992,2014,-0.06813137878623365,0.0015471486205404456
160,CanESM5,r8i1p1f1_gn,historical,1850,1900,-1.3490102897104634,-1.2946873903274537e-06
161,CanESM5,r8i1p1f1_gn,historical,1900,1950,-1.2660578690696411,0.000230305977165699
162,CanESM5,r8i1p1f1_gn,historical,1950,2000,-0.9569349429900171,0.000457763671875
163,CanESM5,r8i1p1f1_gn,historical,1992,2014,-0.09103360753971401,0.0016830907287922773
