,model,p,scenario,startyr,endyr,Tavg,dSdt,model_key,probability_weight
71,CNRM-ESM2-1,1,historical,1850,1900,-0.5359357678573815,2.1676737815141682e-05,CNRM-ESM2-1:p1:1850:1900:historical,0.0
72,CNRM-ESM2-1,1,historical,1900,1950,-0.550837685287604,-3.946940414607525e-05,CNRM-ESM2-1:p1:1900:1950:historical,0.0
73,CNRM-ESM2-1,1,historical,1950,2000,-0.5372831124564073,-0.00013142904266715048,CNRM-ESM2-1:p1:1950:2000:historical,0.0
74,CNRM-ESM2-1,1,historical,1992,2014,-0.042780455790136784,0.0009811863472515886,CNRM-ESM2-1:p1:1992:2014:historical,0.0
75,CanESM5,1,SSP126,2016,2050,1.0494882536819374,0.0022464527803308823,CanESM5:p1:2016:2050:SSP126,114.87950237096861
76,CanESM5,1,SSP126,2051,2100,1.5950495773514777,0.0014799987479132044,CanESM5:p1:2051:2100:SSP126,46.69689107250321
77,CanESM5,1,SSP245,2016,2050,1.194976259823011,0.0025289497831288504,CanESM5:p1:2016:2050:SSP245,54.21004034280366
78,CanESM5,1,SSP245,2051,2100,2.601528119885387,0.002864126556990098,CanESM5:p1:2051:2100:SSP245,15.499761589748443
79,CanESM5,1,SSP585,2016,2050,1.4087315429360387,0.0030700084844640656,CanESM5:p1:2016:2050:SSP585,42.27714003325267
80,CanESM5,1,SSP585,2051,2100,4.509516739885356,0.006048431810067625,CanESM5:p1:2051:2100:SSP585,7.859861673429532
81,CanESM5,1,historical,1850,1900,-1.288916939750095,5.619821399450301e-05,CanESM5:p1:1850:1900:historical,7.859861673429532
82,CanESM5,1,historical,1900,1950,-1.1297217578004393,0.000181803384423256,CanESM5:p1:1900:1950:historical,7.859861673429532
83,CanESM5,1,historical,1950,2000,-0.8258893348328571,0.0004974446624517442,CanESM5:p1:1950:2000:historical,7.859861673429532
84,CanESM5,1,historical,1992,2014,-0.08457625422497357,0.0016768022084778006,CanESM5:p1:1992:2014:historical,7.859861673429532
85,CanESM5,2,SSP126,2016,2050,1.1029056998492024,0.002298153147977941,CanESM5:p2:2016:2050:SSP126,72.75013261289524
86,CanESM5,2,SSP126,2051,2100,1.6076452542621782,0.0016214591660061665,CanESM5:p2:2051:2100:SSP126,44.03689130943265
87,CanESM5,2,SSP245,2016,2050,1.22730309475059,0.002531283480279586,CanESM5:p2:2016:2050:SSP245,39.8762521658664
88,CanESM5,2,SSP245,2051,2100,2.6023971646791155,0.0029806747728464552,CanESM5:p2:2051:2100:SSP245,15.443479808114718
89,CanESM5,2,SSP585,2016,2050,1.4515799861735732,0.0030376359601231176,CanESM5:p2:2016:2050:SSP585,29.354632995891404
90,CanESM5,2,SSP585,2051,2100,4.549376717857513,0.006112234993856781,CanESM5:p2:2051:2100:SSP585,7.2839194553125095
91,CanESM5,2,historical,1850,1900,-1.2901560850450209,4.950506240129471e-05,CanESM5:p2:1850:1900:historical,7.2839194553125095
92,CanESM5,2,historical,1900,1950,-1.1223430372217422,0.00017696126177906986,CanESM5:p2:1900:1950:historical,7.2839194553125095
93,CanESM5,2,historical,1950,2000,-0.8304641896682483,0.0004798177033662796,CanESM5:p2:1950:2000:historical,7.2839194553125095
