,model,p,scenario,startyr,endyr,Tavg,dSdt
128,FGOALS-g3,1,SSP126,2051,2100,0.5290303134441198,0.0005363469981417364
129,FGOALS-g3,1,SSP245,2016,2050,0.605206639551966,0.0014587781008552102
130,FGOALS-g3,1,SSP245,2051,2100,1.1870082738879546,0.0014694512498622037
131,FGOALS-g3,1,SSP585,2016,2050,0.6616401608673073,0.0017059105722343221
132,FGOALS-g3,1,SSP585,2051,2100,2.1929424742643278,0.0031070204413667017
133,FGOALS-g3,1,historical,1850,1900,-0.9802967429715181,-0.0005408502370119095
134,FGOALS-g3,1,historical,1900,1950,-0.8553694528313258,-7.997799664735794e-05
135,FGOALS-g3,1,historical,1950,2000,-0.5582987695383963,0.00026629481464624405
136,FGOALS-g3,1,historical,1992,2014,-0.07632820193578027,0.0010779884389855645
137,FIO-ESM-2-0,1,SSP126,2016,2050,0.7389325305631473,0.0015272367015188816
138,FIO-ESM-2-0,1,SSP126,2051,2100,1.0482047733976667,0.0009118497473042027
139,FIO-ESM-2-0,1,SSP245,2016,2050,0.8358917844027474,0.0018920512760386748
140,FIO-ESM-2-0,1,SSP245,2051,2100,1.8386586678250296,0.002014634560565559
141,FIO-ESM-2-0,1,SSP585,2016,2050,0.9214371822984617,0.00214277405072661
142,FIO-ESM-2-0,1,SSP585,2051,2100,3.26253929962661,0.004413274477939217
143,FIO-ESM-2-0,1,historical,1950,2000,-0.5857725678836232,0.00026449503377079964
144,FIO-ESM-2-0,1,historical,1992,2014,-0.057287632743339145,0.0011331918226046996
145,GFDL-CM4,1,SSP245,2016,2050,0.8249766143850366,0.001959740239031175
146,GFDL-CM4,1,SSP245,2051,2100,1.8816062129430406,0.0023779981598562126
147,GFDL-CM4,1,SSP585,2016,2050,0.9464245234345299,0.0022415792679085452
148,GFDL-CM4,1,SSP585,2051,2100,3.1459173756302903,0.004250158460772768
149,GFDL-CM4,1,historical,1850,1900,-0.7184561893076875,8.358117192983628e-05
150,GFDL-CM4,1,historical,1900,1950,-0.7009949573859444,0.0002610003389418125
151,GFDL-CM4,1,historical,1950,2000,-0.5698199534917876,0.00025855889543890953
152,GFDL-CM4,1,historical,1992,2014,-0.07555497005012057,0.0013494975864887238
153,GFDL-ESM4,1,SSP126,2016,2050,0.6077209889131154,0.0014284908333245445
154,GFDL-ESM4,1,SSP126,2051,2100,0.8079829447541442,0.0013128436949788307
155,GFDL-ESM4,1,SSP245,2016,2050,0.6669517599333972,0.0015816771808792563
156,GFDL-ESM4,1,SSP245,2051,2100,1.4098197525913747,0.002154049824695198
157,GFDL-ESM4,1,SSP585,2016,2050,0.7156126918208656,0.001837187063168077
158,GFDL-ESM4,1,SSP585,2051,2100,2.402924334714612,0.0035354373406390753
159,GFDL-ESM4,1,historical,1850,1900,-0.6213635437302969,0.00016350541263818741
160,GFDL-ESM4,1,historical,1900,1950,-0.40670381398115296,7.197849452495576e-05
161,GFDL-ESM4,1,historical,1950,2000,-0.4321437829392494,0.00031733985990285875
162,GFDL-ESM4,1,historical,1992,2014,-0.0732670057714131,0.001161992380564863
163,GISS-E2-1-G,1,historical,1850,1900,-0.7224793600174735,-6.385539472103119e-05
164,GISS-E2-1-G,1,historical,1900,1950,-0.6114178979674932,0.00015287281572818755
165,GISS-E2-1-G,1,historical,1950,2000,-0.4713797052144287,0.0002602132931351662
166,GISS-E2-1-G,1,historical,1992,2014,-0.05417967770200107,0.0011742461303418333
167,GISS-E2-1-G-CC,1,historical,1850,1900,-0.8006205076857213,-0.00016528287902474405
168,GISS-E2-1-G-CC,1,historical,1900,1950,-0.8235448586343068,6.26438856124878e-05
169,GISS-E2-1-G-CC,1,historical,1950,2000,-0.5428469767982165,0.0003002740442752838
170,GISS-E2-1-G-CC,1,historical,1992,2014,-0.06223181922655385,0.0011889460411938753
171,HadGEM3-GC31-LL,1,SSP126,2016,2050,1.1211467642630737,0.0024106108090456795
172,HadGEM3-GC31-LL,1,SSP126,2051,2100,1.8685475872828192,0.001950551204535426
